airport,Year,Quarter,risk,coverage,expected_days,minimum_year_coverage,valid_days,max_input_date,latest_expected_date,fixed_risk
ATL,2023,3,0.13768115942028986,1.0,276,1.0,276,2022-09-30,2022-09-30,0.13768115942028986
ATL,2023,4,0.10869565217391304,1.0,276,1.0,276,2022-12-31,2022-12-31,0.10869565217391304
ATL,2024,1,0.15185185185185185,1.0,270,1.0,270,2023-03-31,2023-03-31,0.18081180811808117
ATL,2024,2,0.0989010989010989,1.0,273,1.0,273,2023-06-30,2023-06-30,0.09157509157509157
ATL,2024,3,0.12681159420289856,1.0,276,1.0,276,2023-09-30,2023-09-30,0.13768115942028986
ATL,2024,4,0.09420289855072464,1.0,276,1.0,276,2023-12-31,2023-12-31,0.10869565217391304
ATL,2025,1,0.15498154981549817,1.0,271,1.0,271,2024-03-31,2024-03-31,0.18081180811808117
ATL,2025,2,0.10989010989010989,1.0,273,1.0,273,2024-06-30,2024-06-30,0.09157509157509157
LAX,2023,1,0.033210332103321034,1.0,271,1.0,271,2022-03-31,2022-03-31,0.033210332103321034
LAX,2023,2,0.007326007326007326,1.0,273,1.0,273,2022-06-30,2022-06-30,0.007326007326007326
LAX,2023,3,0.0,1.0,276,1.0,276,2022-09-30,2022-09-30,0.0
LAX,2023,4,0.036231884057971016,1.0,276,1.0,276,2022-12-31,2022-12-31,0.036231884057971016
LAX,2024,1,0.07037037037037037,1.0,270,1.0,270,2023-03-31,2023-03-31,0.033210332103321034
LAX,2024,2,0.003663003663003663,1.0,273,1.0,273,2023-06-30,2023-06-30,0.007326007326007326
LAX,2024,3,0.0036231884057971015,1.0,276,1.0,276,2023-09-30,2023-09-30,0.0
LAX,2024,4,0.04710144927536232,1.0,276,1.0,276,2023-12-31,2023-12-31,0.036231884057971016
LAX,2025,1,0.0996309963099631,1.0,271,1.0,271,2024-03-31,2024-03-31,0.033210332103321034
LAX,2025,2,0.003663003663003663,1.0,273,1.0,273,2024-06-30,2024-06-30,0.007326007326007326
JFK,2023,1,0.12177121771217712,1.0,271,1.0,271,2022-03-31,2022-03-31,0.12177121771217712
JFK,2023,2,0.10989010989010989,1.0,273,1.0,273,2022-06-30,2022-06-30,0.10989010989010989
JFK,2023,3,0.10507246376811594,1.0,276,1.0,276,2022-09-30,2022-09-30,0.10507246376811594
JFK,2023,4,0.12318840579710146,1.0,276,1.0,276,2022-12-31,2022-12-31,0.12318840579710146
JFK,2024,1,0.10740740740740741,1.0,270,1.0,270,2023-03-31,2023-03-31,0.12177121771217712
JFK,2024,2,0.0989010989010989,1.0,273,1.0,273,2023-06-30,2023-06-30,0.10989010989010989
JFK,2024,3,0.14130434782608695,1.0,276,1.0,276,2023-09-30,2023-09-30,0.10507246376811594
JFK,2024,4,0.10869565217391304,1.0,276,1.0,276,2023-12-31,2023-12-31,0.12318840579710146
JFK,2025,1,0.12915129151291513,1.0,271,1.0,271,2024-03-31,2024-03-31,0.12177121771217712
JFK,2025,2,0.09523809523809523,1.0,273,1.0,273,2024-06-30,2024-06-30,0.10989010989010989
SEA,2023,1,0.2066420664206642,1.0,271,1.0,271,2022-03-31,2022-03-31,0.2066420664206642
SEA,2023,2,0.07692307692307693,1.0,273,1.0,273,2022-06-30,2022-06-30,0.07692307692307693
SEA,2023,3,0.03260869565217391,1.0,276,1.0,276,2022-09-30,2022-09-30,0.03260869565217391
SEA,2023,4,0.2391304347826087,1.0,276,1.0,276,2022-12-31,2022-12-31,0.2391304347826087
SEA,2024,1,0.16666666666666666,1.0,270,1.0,270,2023-03-31,2023-03-31,0.2066420664206642
SEA,2024,2,0.07326007326007326,1.0,273,1.0,273,2023-06-30,2023-06-30,0.07692307692307693
SEA,2024,3,0.021739130434782608,1.0,276,1.0,276,2023-09-30,2023-09-30,0.03260869565217391
SEA,2024,4,0.21739130434782608,1.0,276,1.0,276,2023-12-31,2023-12-31,0.2391304347826087
SEA,2025,1,0.15498154981549817,1.0,271,1.0,271,2024-03-31,2024-03-31,0.2066420664206642
SEA,2025,2,0.09523809523809523,1.0,273,1.0,273,2024-06-30,2024-06-30,0.07692307692307693
