source,identity_type,carrier_id,carrier_code,year,period_unit,first_period,last_period,periods_observed,periods_present,expected_periods,partial_year
BTS on-time,dot_reporting_airline_id,19690,HA,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19704,CO,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19790,DL,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19805,AA,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19930,AS,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19977,UA,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20304,OO,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20355,US,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20363,9E,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20366,EV,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20374,XE,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20378,YV,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20398,MQ,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20409,B6,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20417,OH,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20436,F9,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20437,FL,2010,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
DB1B,reporting_carrier_code,16,16,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9E,9E,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9L,9L,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AA,AA,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AS,AS,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,B6,B6,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CO,CO,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CP,CP,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,DL,DL,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,EV,EV,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,F9,F9,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,FL,FL,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G4,G4,2011,quarter,4,4,1,4,4,False
DB1B,reporting_carrier_code,G7,G7,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,HA,HA,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,L3,L3,2011,quarter,1,1,1,1,4,False
DB1B,reporting_carrier_code,MQ,MQ,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,NK,NK,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OH,OH,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OO,OO,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OW,OW,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,QX,QX,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,S5,S5,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,SY,SY,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,U5,U5,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,UA,UA,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,US,US,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,VX,VX,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,WN,WN,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,XE,XE,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,XJ,XJ,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YV,YV,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YX,YX,2011,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,ZW,ZW,2011,quarter,1,4,4,1;2;3;4,4,False
BTS on-time,dot_reporting_airline_id,19393,WN,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19690,HA,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19704,CO,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19790,DL,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19805,AA,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19930,AS,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19977,UA,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20304,OO,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20355,US,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20366,EV,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20374,XE,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20378,YV,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20398,MQ,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20409,B6,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20436,F9,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20437,FL,2011,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
DB1B,reporting_carrier_code,16,16,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9E,9E,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9L,9L,2012,quarter,1,3,3,1;2;3,4,False
DB1B,reporting_carrier_code,AA,AA,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AS,AS,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,B6,B6,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CP,CP,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,DL,DL,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,EV,EV,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,F9,F9,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,FL,FL,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G4,G4,2012,quarter,2,4,3,2;3;4,4,False
DB1B,reporting_carrier_code,G7,G7,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,HA,HA,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,MQ,MQ,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,NK,NK,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OH,OH,2012,quarter,1,3,3,1;2;3,4,False
DB1B,reporting_carrier_code,OO,OO,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OW,OW,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,QX,QX,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,RP,RP,2012,quarter,4,4,1,4,4,False
DB1B,reporting_carrier_code,S5,S5,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,SY,SY,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,UA,UA,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,US,US,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,VX,VX,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,WN,WN,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YV,YV,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YX,YX,2012,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,ZW,ZW,2012,quarter,1,4,4,1;2;3;4,4,False
BTS on-time,dot_reporting_airline_id,19393,WN,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19690,HA,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19790,DL,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19805,AA,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19930,AS,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19977,UA,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20304,OO,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20355,US,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20366,EV,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20378,YV,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20398,MQ,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20409,B6,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20436,F9,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20437,FL,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,21171,VX,2012,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
DB1B,reporting_carrier_code,16,16,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9E,9E,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AA,AA,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AS,AS,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,B6,B6,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CP,CP,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,DL,DL,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,EV,EV,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,F9,F9,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,FL,FL,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G4,G4,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G7,G7,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,HA,HA,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,MQ,MQ,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,NK,NK,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OO,OO,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,QX,QX,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,RP,RP,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,S5,S5,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,SY,SY,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,UA,UA,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,US,US,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,VX,VX,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,WN,WN,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YV,YV,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YX,YX,2013,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,ZW,ZW,2013,quarter,1,4,4,1;2;3;4,4,False
BTS on-time,dot_reporting_airline_id,19393,WN,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19690,HA,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19790,DL,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19805,AA,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19930,AS,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19977,UA,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20304,OO,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20355,US,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20363,9E,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20366,EV,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20378,YV,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20398,MQ,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20409,B6,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20436,F9,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20437,FL,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,21171,VX,2013,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
DB1B,reporting_carrier_code,16,16,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,9E,9E,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AA,AA,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AS,AS,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,B6,B6,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CP,CP,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,DL,DL,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,EV,EV,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,F9,F9,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,FL,FL,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G4,G4,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G7,G7,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,HA,HA,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,MQ,MQ,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,NK,NK,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OO,OO,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,QX,QX,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,RP,RP,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,S5,S5,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,SY,SY,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,UA,UA,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,US,US,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,VX,VX,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,WN,WN,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YV,YV,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YX,YX,2014,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,ZW,ZW,2014,quarter,1,4,4,1;2;3;4,4,False
BTS on-time,dot_reporting_airline_id,19393,WN,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19690,HA,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19790,DL,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19805,AA,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19930,AS,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19977,UA,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20304,OO,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20355,US,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20366,EV,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20398,MQ,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20409,B6,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20436,F9,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20437,FL,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,21171,VX,2014,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
DB1B,reporting_carrier_code,16,16,2015,quarter,1,2,2,1;2,4,False
DB1B,reporting_carrier_code,9E,9E,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AA,AA,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,AS,AS,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,B6,B6,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,CP,CP,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,DL,DL,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,EV,EV,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,F9,F9,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G4,G4,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,G7,G7,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,HA,HA,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,MQ,MQ,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,NK,NK,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,OH,OH,2015,quarter,3,4,2,3;4,4,False
DB1B,reporting_carrier_code,OO,OO,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,QX,QX,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,S5,S5,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,SY,SY,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,UA,UA,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,US,US,2015,quarter,1,2,2,1;2,4,False
DB1B,reporting_carrier_code,VX,VX,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,WN,WN,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YV,YV,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,YX,YX,2015,quarter,1,4,4,1;2;3;4,4,False
DB1B,reporting_carrier_code,ZW,ZW,2015,quarter,1,4,4,1;2;3;4,4,False
BTS on-time,dot_reporting_airline_id,19393,WN,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19690,HA,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19790,DL,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19805,AA,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19930,AS,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,19977,UA,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20304,OO,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
BTS on-time,dot_reporting_airline_id,20355,US,2015,month,1,6,6,1;2;3;4;5;6,12,False
BTS on-time,dot_reporting_airline_id,20366,EV,2015,month,1,12,12,1;2;3;4;5;6;7;8;9;10;11;12,12,False
